Verdict,Speaker,Text,Speaker_title,Speaker_party,File_id,Sentence_id,Length,Line_number,Sentiment,Checked? ,CNN,Reuters,AP News,NYT,Atlantic,Politifact,WashPost,Fact Check,times fact-checked
1,Obama,"Governor Romney, I'm glad that you recognize that Al Qaida is a threat, because a few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia, not Al Qaida; you said Russia, in the 1980s, they're now calling to ask for their foreign policy back because, you know, the Cold War's been over for 20 years.",President,DEMOCRAT,2012-10-22.txt,26963,62,103,-0.439301,1,0,0,0,1,1,1,0,1,4
0,Obama,"But Governor, when it comes to our foreign policy, you seem to want to import the foreign policies of the 1980s, just like the social policies of the 1950s and the economic policies of the 1920s.",President,DEMOCRAT,2012-10-22.txt,26964,36,104,0,0,0,0,0,0,0,0,0,0,0
-1,Obama,You say that you're not interested in duplicating what happened in Iraq.,President,DEMOCRAT,2012-10-22.txt,26965,12,105,-0.453807,1,1,0,0,0,0,0,0,0,1
1,Obama,"But just a few weeks ago, you said you think we should have more troops in Iraq right now.",President,DEMOCRAT,2012-10-22.txt,26966,19,106,0,1,1,1,0,0,0,1,0,0,3
-1,Obama,"And the -- the challenge we have -- I know you haven't been in a position to actually execute foreign policy -- but every time you've offered an opinion, you've been wrong.",President,DEMOCRAT,2012-10-22.txt,26967,32,107,0,1,0,1,0,0,0,0,0,0,1
1,Obama,"You said we should have gone into Iraq, despite that fact that there were no weapons of mass destruction.",President,DEMOCRAT,2012-10-22.txt,26968,19,108,-0.512675,0,0,0,0,0,0,0,0,0,0
1,Obama,You said that we should still have troops in Iraq to this day.,President,DEMOCRAT,2012-10-22.txt,26969,13,109,-0.395844,1,1,0,0,0,0,1,0,0,2
1,Obama,"You indicated that we shouldn't be passing nuclear treaties with Russia despite the fact that 71 senators, Democrats and Republicans, voted for it.",President,DEMOCRAT,2012-10-22.txt,26970,23,110,-0.414058,0,0,0,0,0,0,0,0,0,0
1,Obama,"You said that, first, we should not have a timeline in Afghanistan.",President,DEMOCRAT,2012-10-22.txt,26971,12,111,0,0,0,0,0,0,0,0,0,0,0
0,Obama,Then you said we should.,President,DEMOCRAT,2012-10-22.txt,26972,5,112,0,0,0,0,0,0,0,0,0,0,0
-1,Obama,"Now you say maybe or it depends, which means not only were you wrong, but you were also confusing in sending mixed messages both to our troops and our allies.",President,DEMOCRAT,2012-10-22.txt,26973,30,113,-0.66517,0,0,0,0,0,0,0,0,0,0
-1,Obama,"So, what -- what we need to do with respect to the Middle East is strong, steady leadership, not wrong and reckless leadership that is all over the map.",President,DEMOCRAT,2012-10-22.txt,26974,29,114,0.664983,0,0,0,0,0,0,0,0,0,0
-1,Obama,"And unfortunately, that's the kind of opinions that you've offered throughout this campaign, and it is not a recipe for American strength, or keeping America safe over the long haul.",President,DEMOCRAT,2012-10-22.txt,26975,30,115,0,0,0,0,0,0,0,0,0,0,0
-1,Romney,"Well, of course I don't concur with what the president said about my own record and the things that I've said.",Governor,REPUBLICAN,2012-10-22.txt,26977,21,117,0.431854,0,0,0,0,0,0,0,0,0,0
-1,Romney,They don't happen to be accurate.,Governor,REPUBLICAN,2012-10-22.txt,26978,6,118,0,0,0,0,0,0,0,0,0,0,0
-1,Romney,"But -- but I can say this, that we're talking about the Middle East and how to help the Middle East reject the kind of terrorism we're seeing, and the rising tide of tumult and -- and confusion.",Governor,REPUBLICAN,2012-10-22.txt,26979,38,119,-0.824832,0,0,0,0,0,0,0,0,0,0
-1,Romney,And -- and attacking me is not an agenda.,Governor,REPUBLICAN,2012-10-22.txt,26980,9,120,-0.443214,0,0,0,0,0,0,0,0,0,0
-1,Romney,"Attacking me is not talking about how we're going to deal with the challenges that exist in the Middle East, and take advantage of the opportunity there, and stem the tide of this violence.",Governor,REPUBLICAN,2012-10-22.txt,26981,34,121,-0.482887,0,0,0,0,0,0,0,0,0,0
1,Romney,"First of all, Russia I indicated is a geopolitical foe.",Governor,REPUBLICAN,2012-10-22.txt,26983,10,123,-0.250713,1,1,0,0,0,0,0,0,1,2
1,Romney,"It's a geopolitical foe, and I said in the same -- in the same paragraph I said, and Iran is the greatest national security threat we face.",Governor,REPUBLICAN,2012-10-22.txt,26987,27,127,-0.746558,1,0,0,0,0,0,0,0,1,1
1,Romney,Russia does continue to battle us in the U.N. time and time again.,Governor,REPUBLICAN,2012-10-22.txt,26988,13,128,-0.355708,0,0,0,0,0,0,0,0,0,0
-1,Romney,I have clear eyes on this.,Governor,REPUBLICAN,2012-10-22.txt,26989,6,129,0.243569,0,0,0,0,0,0,0,0,0,0
-1,Romney,"I'm not going to wear rose-colored glasses when it comes to Russia, or Mr. Putin.",Governor,REPUBLICAN,2012-10-22.txt,26990,15,130,-0.524603,0,0,0,0,0,0,0,0,0,0
-1,Romney,"And I'm certainly not going to say to him, I'll give you more flexibility after the election.",Governor,REPUBLICAN,2012-10-22.txt,26991,17,131,0,0,0,0,0,0,0,0,0,0,0
-1,Romney,"After the election, he'll get more backbone.",Governor,REPUBLICAN,2012-10-22.txt,26992,7,132,0,0,0,0,0,0,0,0,0,0,0
0,Romney,"Number two, with regards to Iraq, you and I agreed I believe that there should be a status of forces agreement.",Governor,REPUBLICAN,2012-10-22.txt,26993,21,133,0.443363,1,0,0,0,0,0,0,0,1,1
-1,Romney,You didn't want a status of...,Governor,REPUBLICAN,2012-10-22.txt,26996,6,136,-0.305177,0,0,0,0,0,0,0,0,0,0
1,Obama,"What I would not have had done was left 10,000 troops in Iraq that would tie us down.",President,DEMOCRAT,2012-10-22.txt,26997,18,137,-0.419047,1,0,0,1,1,1,0,0,0,3
-1,Obama,And that certainly would not help us in the Middle East.,President,DEMOCRAT,2012-10-22.txt,26998,11,138,-0.432094,0,0,0,0,0,0,0,0,0,0
1,Romney,"I'm sorry, you actually -- there was a -- there was an effort on the part of the president to have a status of forces agreement, and I concurred in that, and said that we should have some number of troops that stayed on.",Governor,REPUBLICAN,2012-10-22.txt,26999,44,139,-0.237889,1,1,0,0,0,0,0,1,0,2
1,Romney,That was something I concurred with...,Governor,REPUBLICAN,2012-10-22.txt,27000,6,140,0,0,0,0,0,0,0,0,0,0,0
-1,Romney,That was my posture as well.,Governor,REPUBLICAN,2012-10-22.txt,27005,6,145,0.523483,0,0,0,0,0,0,0,0,0,0
1,Romney,"You thought it should have been 5,000 troops...",Governor,REPUBLICAN,2012-10-22.txt,27006,8,146,-0.262833,1,1,0,0,0,0,0,0,0,1
-1,Romney,"I thought there should have been more troops, but you know what?",Governor,REPUBLICAN,2012-10-22.txt,27010,12,150,-0.317283,1,1,0,0,0,0,0,0,0,1
-1,Romney,The answer was we got...,Governor,REPUBLICAN,2012-10-22.txt,27011,5,151,0,1,1,0,0,0,0,0,0,0,1
1,Romney,... no troops through whatsoever.,Governor,REPUBLICAN,2012-10-22.txt,27013,5,153,-0.377696,1,1,0,0,0,0,0,0,0,1
1,Obama,This was just a few weeks ago that you indicated that we should still have troops in Iraq.,President,DEMOCRAT,2012-10-22.txt,27014,18,154,-0.284393,0,0,0,0,0,0,0,0,0,0
-1,Romney,...that's a -- I indicated...,Governor,REPUBLICAN,2012-10-22.txt,27020,5,160,0,0,0,0,0,0,0,0,0,0,0
0,Romney,...I indicated that you failed to put in place a status...,Governor,REPUBLICAN,2012-10-22.txt,27024,11,164,-0.290124,0,0,0,0,0,0,0,0,0,0
-1,Romney,...of forces agreement at the end of the conflict that existed.,Governor,REPUBLICAN,2012-10-22.txt,27028,11,168,-0.353406,0,0,0,0,0,0,0,0,0,0
-1,Obama,Governor -- here -- here's -- here's one thing...,President,DEMOCRAT,2012-10-22.txt,27029,9,169,0,0,0,0,0,0,0,0,0,0,0
-1,Obama,...here's one thing I've learned as commander in chief.,President,DEMOCRAT,2012-10-22.txt,27031,9,171,0,0,0,0,0,0,0,0,0,0,0
-1,Obama,"You've got to be clear, both to our allies and our enemies, about where you stand and what you mean.",President,DEMOCRAT,2012-10-22.txt,27034,20,174,-0.373846,0,0,0,0,0,0,0,0,0,0
1,Obama,You just gave a speech a few weeks ago in which you said we should still have troops in Iraq.,President,DEMOCRAT,2012-10-22.txt,27035,20,175,-0.367995,0,0,0,0,0,0,0,0,0,0
-1,Obama,That is not a recipe for making sure that we are taking advantage of the opportunities and meeting the challenges of the Middle East.,President,DEMOCRAT,2012-10-22.txt,27036,24,176,0.267674,0,0,0,0,0,0,0,0,0,0
-1,Obama,"Now, it is absolutely true that we cannot just meet these challenges militarily.",President,DEMOCRAT,2012-10-22.txt,27037,13,177,0,0,0,0,0,0,0,0,0,0,0
0,Obama,"And so what I've done throughout my presidency and will continue to do is, number one, make sure that these countries are supporting our counterterrorism efforts.",President,DEMOCRAT,2012-10-22.txt,27038,26,178,0.646089,0,0,0,0,0,0,0,0,0,0
-1,Obama,"Number two, make sure that they are standing by our interests in Israel's security, because it is a true friend and our greatest ally in the region.",President,DEMOCRAT,2012-10-22.txt,27039,27,179,0.710818,0,0,0,0,0,0,0,0,0,0
-1,Obama,"Number three, we do have to make sure that we're protecting religious minorities and women because these countries can't develop unless all the population, not just half of it, is developing.",President,DEMOCRAT,2012-10-22.txt,27040,31,180,0,0,0,0,0,0,0,0,0,0,0
-1,Obama,"Number four, we do have to develop their economic -- their economic capabilities.",President,DEMOCRAT,2012-10-22.txt,27041,13,181,-0.285328,0,0,0,0,0,0,0,0,0,0
-1,Obama,"But number five, the other thing that we have to do is recognize that we can't continue to do nation building in these regions.",President,DEMOCRAT,2012-10-22.txt,27042,24,182,-0.373863,0,0,0,0,0,0,0,0,0,0
-1,Obama,Part of American leadership is making sure that we're doing nation building here at home.,President,DEMOCRAT,2012-10-22.txt,27043,15,183,0.552033,0,0,0,0,0,0,0,0,0,0
-1,Obama,That will help us maintain the kind of American leadership that we need.,President,DEMOCRAT,2012-10-22.txt,27044,13,184,0.645567,0,0,0,0,0,0,0,0,0,0
1,Obama,"What we've done is organize the international community, saying Assad has to go.",President,DEMOCRAT,2012-10-22.txt,27057,13,197,0,0,0,0,0,0,0,0,0,0,0
1,Obama,We've mobilized sanctions against that government.,President,DEMOCRAT,2012-10-22.txt,27058,6,198,-0.282301,0,0,0,0,0,0,0,0,0,0
0,Obama,We have made sure that they are isolated.,President,DEMOCRAT,2012-10-22.txt,27059,8,199,-0.356517,0,0,0,0,0,0,0,0,0,0
1,Obama,"We have provided humanitarian assistance and we are helping the opposition organize, and we're particularly interested in making sure that we're mobilizing the moderate forces inside of Syria.",President,DEMOCRAT,2012-10-22.txt,27060,28,200,0.860455,0,0,0,0,0,0,0,0,0,0
-1,Obama,"But ultimately, Syrians are going to have to determine their own future.",President,DEMOCRAT,2012-10-22.txt,27061,12,201,-0.587973,0,0,0,0,0,0,0,0,0,0
1,Obama,"And so everything we're doing, we're doing in consultation with our partners in the region, including Israel which obviously has a huge interest in seeing what happens in Syria; coordinating with Turkey and other countries in the region that have a great interest in this.",President,DEMOCRAT,2012-10-22.txt,27062,45,202,0.636295,0,0,0,0,0,0,0,0,0,0
-1,Obama,"This -- what we're seeing taking place in Syria is heartbreaking, and that's why we are going to do everything we can to make sure that we are helping the opposition.",President,DEMOCRAT,2012-10-22.txt,27063,31,203,0.903423,0,0,0,0,0,0,0,0,0,0
-1,Obama,"But we also have to recognize that, you know, for us to get more entangled militarily in Syria is a serious step, and we have to do so making absolutely certain that we know who we are helping; that we're not putting arms in the hands of folks who eventually could turn them against us or allies in the region.",President,DEMOCRAT,2012-10-22.txt,27064,60,204,0,0,0,0,0,0,0,0,0,0,0
-1,Obama,And I am confident that Assad's days are numbered.,President,DEMOCRAT,2012-10-22.txt,27065,9,205,0.690373,0,0,0,0,0,0,0,0,0,0
1,Obama,"But what we can't do is to simply suggest that, as Governor Romney at times has suggested, that giving heavy weapons, for example, to the Syrian opposition is a simple proposition that would lead us to be safer over the long term.",President,DEMOCRAT,2012-10-22.txt,27066,42,206,0.551151,0,0,0,0,0,0,0,0,0,0
-1,Romney,"Well, let's step back and talk about what's happening in Syria and how important it is.",Governor,REPUBLICAN,2012-10-22.txt,27068,16,208,0.751554,0,0,0,0,0,0,0,0,0,0
1,Romney,"First of all, 30,000 people being killed by their government is a humanitarian disaster.",Governor,REPUBLICAN,2012-10-22.txt,27069,14,209,-0.516881,0,0,0,0,0,0,0,0,0,0
-1,Romney,"Secondly, Syria is an opportunity for us because Syria plays an important role in the Middle East, particularly right now.",Governor,REPUBLICAN,2012-10-22.txt,27070,20,210,0.315398,0,0,0,0,0,0,0,0,0,0
1,Romney,Syria is Iran's only ally in the Arab world.,Governor,REPUBLICAN,2012-10-22.txt,27071,9,211,-0.620773,1,0,1,1,1,0,1,0,0,4
0,Romney,It's their route to the sea.,Governor,REPUBLICAN,2012-10-22.txt,27072,6,212,0,1,0,1,1,1,0,1,0,0,4
-1,Romney,"It's the route for them to arm Hezbollah in Lebanon, which threatens, of course, our ally, Israel.",Governor,REPUBLICAN,2012-10-22.txt,27073,17,213,0,0,0,0,0,0,0,0,0,0,0
-1,Romney,And so seeing Syria remove Assad is a very high priority for us.,Governor,REPUBLICAN,2012-10-22.txt,27074,13,214,0,0,0,0,0,0,0,0,0,0,0
-1,Romney,"Number two, seeing a -- a replacement government being responsible people is critical for us.",Governor,REPUBLICAN,2012-10-22.txt,27075,15,215,0,0,0,0,0,0,0,0,0,0,0
1,Romney,"And finally, we don't want to have military involvement there.",Governor,REPUBLICAN,2012-10-22.txt,27076,10,216,0,1,0,0,1,0,0,0,0,0,1
-1,Romney,We don't want to get drawn into a military conflict.,Governor,REPUBLICAN,2012-10-22.txt,27077,10,217,-0.39105,0,0,0,0,0,0,0,0,0,0
-1,Romney,"And so the right course for us, is working through our partners and with our own resources, to identify responsible parties within Syria, organize them, bring them together in a -- in a form of -- if not government, a form of -- of -- of council that can take the lead in Syria.",Governor,REPUBLICAN,2012-10-22.txt,27078,54,218,0.358302,0,0,0,0,0,0,0,0,0,0
-1,Romney,And then make sure they have the arms necessary to defend themselves.,Governor,REPUBLICAN,2012-10-22.txt,27079,12,219,0,0,0,0,0,0,0,0,0,0,0
-1,Romney,We do need to make sure that they don't have arms that get into the -- the wrong hands.,Governor,REPUBLICAN,2012-10-22.txt,27080,19,220,-0.429682,0,0,0,0,0,0,0,0,0,0
-1,Romney,Those arms could be used to hurt us down the road.,Governor,REPUBLICAN,2012-10-22.txt,27081,11,221,-0.730417,0,0,0,0,0,0,0,0,0,0
-1,Romney,"We need to make sure as well that we coordinate this effort with our allies, and particularly with -- with Israel.",Governor,REPUBLICAN,2012-10-22.txt,27082,21,222,0.524983,0,0,0,0,0,0,0,0,0,0
-1,Romney,"But the Saudi's and the Qatari, and -- and the Turks are all very concerned about this.",Governor,REPUBLICAN,2012-10-22.txt,27083,17,223,-0.470654,0,0,0,0,0,0,0,0,0,0
1,Romney,They're willing to work with us.,Governor,REPUBLICAN,2012-10-22.txt,27084,6,224,0.792635,0,0,0,0,0,0,0,0,0,0
-1,Romney,"We need to have a very effective leadership effort in Syria, making sure that the -- the insurgent there are armed and that the insurgents that become armed, are people who will be the responsible parties.",Governor,REPUBLICAN,2012-10-22.txt,27085,36,225,-0.535912,0,0,0,0,0,0,0,0,0,0
-1,Romney,Recognize -- I believe that Assad must go.,Governor,REPUBLICAN,2012-10-22.txt,27086,8,226,-0.301918,0,0,0,0,0,0,0,0,0,0
-1,Romney,I believe he will go.,Governor,REPUBLICAN,2012-10-22.txt,27087,5,227,0,0,0,0,0,0,0,0,0,0,0
-1,Romney,"But I believe -- we want to make sure that we have the relationships of friendship with the people that take his place, steps that in the years to come we see Syria as a -- as a friend, and Syria as a responsible party in the Middle East.",Governor,REPUBLICAN,2012-10-22.txt,27088,49,228,0.751387,0,0,0,0,0,0,0,0,0,0
-1,Romney,This -- this is a critical opportunity for America.,Governor,REPUBLICAN,2012-10-22.txt,27089,9,229,0.716067,0,0,0,0,0,0,0,0,0,0
-1,Romney,"And what I'm afraid of is we've watched over the past year or so, first the president saying, well we'll let the U.N. deal with it.",Governor,REPUBLICAN,2012-10-22.txt,27090,26,230,-0.287274,1,0,0,1,0,0,0,0,0,1
0,Romney,"And Assad -- excuse me, Kofi Annan came in and said we're going to try to have a ceasefire.",Governor,REPUBLICAN,2012-10-22.txt,27091,19,231,-0.547407,1,0,0,1,0,0,0,0,0,1
0,Romney,"Then it went to the Russians and said, let's see if you can do something.",Governor,REPUBLICAN,2012-10-22.txt,27093,15,233,-0.348554,1,0,0,1,0,0,0,0,0,1
-1,Obama,We are playing the leadership role.,President,DEMOCRAT,2012-10-22.txt,27097,6,237,0,1,0,0,1,0,0,0,0,0,1
0,Obama,We organized the Friends of Syria.,President,DEMOCRAT,2012-10-22.txt,27098,6,238,0,1,0,0,1,0,0,0,0,0,1
1,Obama,"We are mobilizing humanitarian support, and support for the opposition.",President,DEMOCRAT,2012-10-22.txt,27099,10,239,0.814647,1,0,0,1,0,0,0,0,0,1
-1,Obama,But going back to Libya -- because this is an example of how we make choices.,President,DEMOCRAT,2012-10-22.txt,27101,16,241,0.583921,0,0,0,0,0,0,0,0,0,0
1,Obama,"When we went in to Libya, and we were able to immediately stop the massacre there, because of the unique circumstances and the coalition that we had helped to organize.",President,DEMOCRAT,2012-10-22.txt,27102,30,242,0,0,0,0,0,0,0,0,0,0,0
